Key;Type;Desc;English;Vietnamese [vi]
Audio/AmbienceVolume;Text;;Ambience Volume;Âm lượng môi trường
Audio/MasterVolume;Text;;Master Volume;Âm lượng tổng
Audio/MusicRate/1;Text;;None;Không
Audio/MusicRate/2;Text;;Short;Ngắn
Audio/MusicRate/3;Text;;Medium;Vừa
Audio/MusicRate/4;Text;;Long;Dài
Audio/MusicRate/5;Text;;Max;Hết cỡ
Audio/MusicRate/Title;Text;;Time between music tracks;Thời gian giữa các bản nhạc
Audio/MusicVolume;Text;;Music Volume;Âm lượng nhạc nền
Audio/NotebookVolume;Text;;Notebook Volume;Âm lượng sổ tay
Audio/SFXVolume;Text;;SFX Volume;Âm lượng hiệu ứng
Audio/UIVolume;Text;;UI Volume;Âm lượng giao diện
Battery/Empty;Text;;Battery empty;Không có Pin
Battery/Required;Text;;Battery required;Cần có Pin
Blcok/Shelf_Wood;Text;;Wooden shelf@;Kệ gỗ@
Block/Anchor_Stationary;Text;;Stationary anchor@Lets you anchor your raft.;Neo cố định@Cho phép bạn neo bè lại.
Block/Anchor_Stationary_Advanced;Text;;Advanced stationary anchor@Works remotely with the engine controls.;Neo cố định nâng cao@Hoạt động từ xa cùng bảng điều khiển động cơ.
Block/Anchor_Stationary_Remote;Text;;Remote stationary anchor@Works remotely with the engine controls.;Neo cố định điều khiển từ xa@Hoạt động từ xa cùng bảng điều khiển động cơ.
Block/Anchor_Throwable;Text;;Throwable anchor@Lets you anchor your raft. Can only be used once.;Neo ném@Cho phép bạn neo bè lại. Chỉ dùng được một lần.
Block/Antenna;Text;;Antenna@Used along with the receiver.;Ăng-ten@Dùng cùng với bộ thu.
Block/Bathtub;Text;;Wooden bathtub@A no splinter guarantee!;Bồn tắm gỗ@Đảm bảo không dằm gỗ!
Block/BatteryCharger;Text;;Battery charger@Can be connected with fuel pipes!;Bộ sạc pin@Có thể kết nối với ống dẫn nhiên liệu!
Block/Bed;Text;;Bed@Lets you sleep through the night and can be used to revive incapacitated friends. Respawning in a bed provides you with even more health than a simple bed.;Giường@Cho phép bạn ngủ qua đêm và hồi sinh bạn bè bị ngất. Hồi sinh trên giường này cho nhiều máu hơn giường đơn giản.
Block/Bed_Hammock;Text;;Hammock@Lets you sleep through the night and can be used to revive incapacitated friends. Respawning in a hammock provides you with even more health than a simple bed.;Võng@Cho phép bạn ngủ qua đêm và hồi sinh bạn bè bị ngất. Hồi sinh trên võng cho nhiều máu hơn giường đơn giản.
Block/Bed_Simple;Text;;Simple bed@Lets you sleep through the night and can be used to revive incapacitated friends. Respawning in a bed also provides you with more health.;Giường đơn giản@Cho phép bạn ngủ qua đêm và hồi sinh bạn bè bị ngất. Hồi sinh trên giường cũng cho thêm máu.
Block/Beehive;Text;;Beehive@If you care for the bees they will yield you honeycombs.;Tổ ong@Nếu bạn chăm sóc ong, chúng sẽ cho bạn sáp ong.
Block/BiofuelExtractor;Text;;Biofuel refiner@Mixes raw food and honey to create biofuel.;Máy lọc nhiên liệu sinh học@Trộn thực phẩm thô và mật ong để tạo nhiên liệu sinh học.
Block/BiofuelExtractor_Advanced;Text;;Advanced biofuel refiner@Mixes raw food and honey to create biofuel.;Máy lọc nhiên liệu sinh học nâng cao@Trộn thực phẩm thô và mật ong để tạo nhiên liệu sinh học.
Block/BirdsNest;Text;;Birds nest@A place for seagulls to rest. Be sure to keep your distance as birds are easily scared.;Tổ chim@Nơi để hải âu nghỉ ngơi. Hãy giữ khoảng cách vì chim rất dễ sợ hãi.
Block/BlanketBasket;Text;;Blanket basket@Perfect when if it gets a bit chilly.;Giỏ chăn@Hoàn hảo khi trời se lạnh.
Block/Bookpile;Text;;Bookpile@A pile of old books.;Chồng sách@Một chồng sách cũ.
Block/Brick_Wet;Text;;Wet brick@Can be placed on your raft to dry.;Gạch ướt@Có thể đặt trên bè để phơi khô.
Block/CandleBottle;Text;;Candle Bottle@Not a very bright light, but a pretty one.;Chai nến@Ánh sáng không rực rỡ lắm, nhưng khá đẹp.
Block/Candlestick;Text;;Candlestick@For a candle lit dinner.;Chân nến@Cho bữa tối bên ánh nến.
Block/Chair;Text;;Chair@Nice for sitting. Goes well with a table.;Ghế@Rất hợp để ngồi. Đi kèm bàn thì càng hợp.
Block/Clock;Text;;Clock@Shows the time.;Đồng hồ@Hiển thị thời gian.
Block/CollectionNet;Text;;Advanced collection net@Automatically catches items that float into it. Can contain more items than a simple collection net.;Lưới thu gom nâng cao@Tự động bắt các vật phẩm trôi vào. Chứa được nhiều hơn lưới thu gom đơn giản.
Block/CollectionNet_Simple;Text;;Simple collection net@Automatically catches items that float into it.;Lưới thu gom đơn giản@Tự động bắt các vật phẩm trôi vào.
Block/CookingPot;Text;;Cookingpot@Combines base food into amazing meals.;Nồi nấu ăn@Kết hợp thực phẩm cơ bản thành món ăn tuyệt vời.
Block/CookingStand_Food_Electric;Text;;Electric grill@Can cook a lot of food at once. Uses battery as fuel.;Lò nướng điện@Nấu được nhiều thức ăn cùng lúc. Dùng pin làm nhiên liệu.
Block/CookingStand_Food_One;Text;;Simple grill@Can cook a piece of food. Uses planks as fuel.;Lò nướng đơn giản@Nấu được một phần thức ăn. Dùng ván gỗ làm nhiên liệu.
Block/CookingStand_Food_Two;Text;;Advanced grill@Can cook several pieces of food at once. Uses planks as fuel.;Lò nướng nâng cao@Nấu được nhiều phần thức ăn cùng lúc. Dùng ván gỗ làm nhiên liệu.
Block/CookingStand_Purifier_One;Text;;Simple purifier@Can purify one cup of saltwater into freshwater. Uses planks as fuel.;Máy lọc nước đơn giản@Lọc được một cốc nước mặn thành nước ngọt. Dùng ván gỗ làm nhiên liệu.
Block/CookingStand_Purifier_Two;Text;;Advanced purifier@Can purify several cups of water at once. Does not require fuel.;Máy lọc nước nâng cao@Lọc được nhiều cốc nước cùng lúc. Không cần nhiên liệu.
